Gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,p < 0.05:,up,down,,,,,,
Fxyd2,6.79E-34,1.923847526,0.323,0.031,2.19E-29,3.794336228,,,61,514,,B&T Cells 24moKOvWT,,,,
Ftl1,1.10E-40,1.626266879,0.294,0,3.54E-36,3.087131376,,,,,,Gene,fold,,Gene,fold
Pdcd1,5.61E-13,1.419866404,0.2,0.049,1.81E-08,2.675607332,,,,,,Fxyd2,3.794336228,,Fgf13,-2.115796789
Vps37b,2.44E-09,1.400586819,0.297,0.156,7.88E-05,2.640089464,,,,,,Ftl1,3.087131376,,Nhs,-2.140233335
Gpx3,3.58E-15,1.370225633,0.481,0.247,1.15E-10,2.585109933,,,,,,Pdcd1,2.675607332,,Lrp2,-2.176383733
Cox8a,1.41E-27,1.30324046,0.329,0.055,4.54E-23,2.467825629,,,,,,Vps37b,2.640089464,,Rbm47,-2.200341407
Sytl3,1.89E-07,1.262180351,0.213,0.101,0.006112467,2.398579655,,,,,,Gpx3,2.585109933,,Tanc2,-2.208541418
Itga4,2.12E-14,1.226104807,0.626,0.469,6.85E-10,2.339345268,,,,,,Cox8a,2.467825629,,Gm42418,-2.245324726
Abcb1a,1.53E-08,1.160220145,0.255,0.123,0.000492986,2.234915282,,,,,,Sytl3,2.398579655,,Cmss1,-2.262585657
Ttc36,6.71E-27,1.145676534,0.252,0.02,2.17E-22,2.212498588,,,,,,Itga4,2.339345268,,Ptprk,-2.319737289
Prkch,8.46E-07,1.122777638,0.548,0.504,0.027310772,2.177658363,,,,,,Abcb1a,2.234915282,,Gk,-2.351977491
Hip1,1.26E-06,1.097368264,0.484,0.416,0.04050475,2.139640273,,,,,,Ttc36,2.212498588,,Mndal,-2.388888095
Stat4,9.02E-13,1.096150768,0.635,0.482,2.91E-08,2.137835384,,,,,,Prkch,2.177658363,,Magi2,-2.405113367
Tnfaip3,7.37E-07,1.069099974,0.219,0.11,0.023781671,2.098124044,,,,,,Hip1,2.139640273,,Nedd4l,-2.428669245
Gpx4,5.54E-28,1.02284502,0.261,0.018,1.79E-23,2.031921997,,,,,,Stat4,2.137835384,,Pkhd1,-2.456666585
