rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,p < 0.05:,up,down
Pde10a,3.50E-47,2.056226217,0.849,0.5,1.13E-42,4.158969823,,,60,281
Fam129a,8.83E-32,1.408695558,0.856,0.644,2.85E-27,2.654969998,,,,
Itpkb,1.32E-13,1.292854233,0.603,0.416,4.25E-09,2.450123096,,,,
Pappa,2.00E-32,1.239050355,0.881,0.659,6.46E-28,2.360431073,,,,
Pde7b,4.00E-28,1.10157981,0.938,0.863,1.29E-23,2.145895482,,,,
Pde3b,3.97E-29,1.084815354,0.934,0.887,1.28E-24,2.121103992,,,,
Stim2,3.29E-16,1.074802037,0.646,0.43,1.06E-11,2.106433012,,,,
Scg5,1.21E-11,1.022541718,0.616,0.442,3.89E-07,2.031494865,,,,
Nedd4l,2.18E-39,1.018587448,0.982,0.964,7.04E-35,2.025934383,,,,
Gm50368,4.11E-10,0.864687438,0.269,0.108,1.33E-05,1.820945114,,,,
4933406I18Rik,3.72E-19,0.859696782,0.865,0.752,1.20E-14,1.814656876,,,,
Macf1,3.63E-20,0.855930189,0.97,0.952,1.17E-15,1.809925342,,,,
Arid5b,2.61E-08,0.834937167,0.726,0.661,0.000842377,1.783779349,,,,
Hdac4,5.23E-15,0.8330379,0.667,0.466,1.69E-10,1.781432599,,,,
Kif26b,6.57E-10,0.803837627,0.669,0.526,2.12E-05,1.745738691,,,,
Iqgap2,2.51E-13,0.792066052,0.904,0.861,8.08E-09,1.731552407,,,,
Mib1,1.08E-06,0.786209477,0.655,0.572,0.034704983,1.724537472,,,,
Adamts9,1.38E-07,0.752827537,0.247,0.118,0.004448392,1.685092208,,,,
Flvcr1,8.08E-12,0.752497188,0.557,0.341,2.61E-07,1.684706398,,,,
Coq10b,1.54E-11,0.731750101,0.514,0.308,4.96E-07,1.66065237,,,,
Sik1,3.67E-13,0.727025371,0.368,0.154,1.19E-08,1.65522274,,,,
Smchd1,3.42E-07,0.709133385,0.607,0.529,0.011039532,1.634821798,,,,
Crem,8.61E-08,0.703079608,0.539,0.397,0.002779122,1.627976199,,,,
Ier3,3.71E-17,0.695087684,0.299,0.072,1.20E-12,1.618982829,,,,
Cpt1a,1.19E-06,0.674029545,0.701,0.642,0.038511133,1.595523155,,,,
Gm48678,2.46E-09,0.671824822,0.509,0.329,7.93E-05,1.593086741,,,,
Stat3,1.88E-15,0.669751122,0.847,0.675,6.08E-11,1.590798516,,,,
Aqp2,1.52E-08,0.659520782,0.564,0.365,0.000491592,1.579557857,,,,
Myo1b,2.36E-08,0.656683497,0.404,0.243,0.000759915,1.576454462,,,,
Per2,5.82E-09,0.652829,0.422,0.255,0.000187805,1.572248217,,,,
Gm15810,5.02E-11,0.650174434,0.441,0.236,1.62E-06,1.569357933,,,,
Aff1,1.00E-06,0.625998141,0.893,0.892,0.032265649,1.543278187,,,,
Rgs6,5.78E-07,0.624190772,0.74,0.671,0.018654871,1.541346021,,,,
Mir133a-1hg,4.13E-11,0.589532471,0.164,0.031,1.33E-06,1.504759026,,,,
Slc38a2,1.78E-07,0.561478061,0.521,0.365,0.005738518,1.475780401,,,,
Stk40,7.95E-07,0.55317561,0.445,0.308,0.025646978,1.46731194,,,,
Sik3,1.74E-09,0.549690955,0.904,0.861,5.62E-05,1.463772103,,,,
Drg1,3.15E-08,0.54543123,0.452,0.276,0.001015376,1.459456519,,,,
Usp2,2.66E-08,0.540426217,0.537,0.361,0.000859264,1.454402129,,,,
Rnf2,5.47E-07,0.531981274,0.543,0.389,0.017638675,1.445913526,,,,
Bhlhe40,1.50E-09,0.508612403,0.217,0.075,4.83E-05,1.42268119,,,,
Agrp,3.48E-08,0.494223868,0.454,0.279,0.001123504,1.408562782,,,,
Paqr5,2.17E-08,0.493209597,0.847,0.76,0.000699713,1.407572855,,,,
Tbc1d1,3.70E-07,0.486127875,0.938,0.933,0.011944813,1.400680466,,,,
Stox2,1.90E-08,0.478890629,0.966,0.947,0.000614219,1.39367158,,,,
Gm12925,4.79E-09,0.475418119,0.137,0.026,0.000154668,1.390321102,,,,
Gng12,5.46E-07,0.472513983,0.87,0.87,0.017617072,1.387525209,,,,
Fgfr2,6.41E-07,0.465181145,0.961,0.947,0.02069439,1.380490678,,,,
Pde8a,2.95E-09,0.462789266,0.858,0.697,9.52E-05,1.378203824,,,,
Gm12227,1.36E-07,0.448744336,0.126,0.029,0.004396459,1.364851827,,,,
Arl15,5.46E-11,0.445734259,0.979,0.986,1.76E-06,1.362007133,,,,
Eva1b,9.08E-07,0.413642939,0.164,0.06,0.029303803,1.332045108,,,,
Cry2,1.62E-07,0.412415131,0.203,0.079,0.005225541,1.330911951,,,,
E530011L22Rik,8.45E-07,0.407759896,0.237,0.111,0.027257783,1.326624335,,,,
Nckap5,2.57E-07,0.392996437,0.929,0.858,0.008281972,1.313117882,,,,
Malat1,7.35E-45,0.366284989,1,1,2.37E-40,1.28902924,,,,
Ptprj,3.57E-07,0.354039226,0.963,0.947,0.011509771,1.278134115,,,,
Mecom,2.69E-13,0.349973584,0.998,1,8.68E-09,1.27453729,,,,
Phactr1,1.99E-13,0.330223219,0.998,1,6.41E-09,1.257207879,,,,
Nab2,6.00E-07,0.315322755,0.114,0.026,0.019353697,1.244289991,,,,
Tpmt,1.33E-14,-0.251168495,0,0.127,4.28E-10,-1.19017069,,,,
Aldh7a1,8.04E-10,-0.252796252,0.023,0.135,2.59E-05,-1.191514288,,,,
Ndufb5,1.48E-11,-0.254462509,0.002,0.106,4.76E-07,-1.192891237,,,,
Sgk1,2.08E-14,-0.256314141,0.002,0.132,6.71E-10,-1.19442324,,,,
Tmem259,2.59E-08,-0.257331554,0.039,0.149,0.000834807,-1.195265864,,,,
Plpp1,4.46E-11,-0.259906777,0.032,0.168,1.44E-06,-1.197401329,,,,
Txn1,6.35E-12,-0.260667113,0.007,0.12,2.05E-07,-1.198032556,,,,
Fam107b,4.69E-07,-0.260759594,0.301,0.483,0.015141871,-1.198109356,,,,
Mbd1,1.20E-08,-0.265378911,0.027,0.132,0.000386552,-1.20195169,,,,
Pcsk5,3.33E-15,-0.270697971,0.002,0.139,1.08E-10,-1.206391334,,,,
