rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,p < 0.05:,up,down
Pdk4,2.14E-93,1.61890928,0.55,0.213,6.91E-89,3.071427396,,,142,292
Mmd,1.09E-45,1.288078917,0.48,0.283,3.53E-41,2.442026603,,,,
Nrxn3,1.47E-14,1.260282729,0.233,0.14,4.73E-10,2.395426802,,,,
Coq10b,1.73E-99,1.180019164,0.602,0.295,5.58E-95,2.265797868,,,,
Ier3,1.13E-64,1.016416087,0.564,0.306,3.63E-60,2.022887498,,,,
Sik1,1.73E-96,1.000348182,0.47,0.151,5.60E-92,2.000482741,,,,
Gm17276,6.41E-22,0.925197572,0.428,0.291,2.07E-17,1.898944277,,,,
Pde10a,1.10E-23,0.868041502,0.758,0.672,3.54E-19,1.825183481,,,,
Btg2,5.01E-50,0.841319454,0.445,0.222,1.62E-45,1.791688027,,,,
Sec14l1,1.67E-29,0.810217703,0.55,0.39,5.39E-25,1.753476023,,,,
Sat1,1.60E-13,0.746397769,0.606,0.536,5.15E-09,1.67759884,,,,
Ptger3,1.32E-08,0.736740502,0.249,0.181,0.000427123,1.66640665,,,,
Usp53,7.18E-52,0.727464133,0.835,0.686,2.32E-47,1.655726214,,,,
Nr4a1,5.40E-54,0.714361427,0.399,0.152,1.74E-49,1.640756816,,,,
Rtl4,1.48E-11,0.66741905,0.204,0.125,4.76E-07,1.588229117,,,,
Pappa,4.20E-19,0.628311123,0.483,0.355,1.36E-14,1.545754411,,,,
Chp1,3.31E-30,0.609977579,0.589,0.422,1.07E-25,1.526235489,,,,
Stat3,3.98E-32,0.608511958,0.805,0.672,1.28E-27,1.524685787,,,,
1810034E14Rik,1.44E-29,0.608031746,0.491,0.318,4.66E-25,1.524178369,,,,
Ifrd1,2.03E-25,0.585064644,0.549,0.38,6.56E-21,1.500106204,,,,
Tob2,9.50E-28,0.567931921,0.414,0.246,3.07E-23,1.482397056,,,,
Paqr5,7.98E-30,0.540816169,0.9,0.857,2.57E-25,1.454795299,,,,
Gm45716,1.31E-33,0.531425825,0.173,0.043,4.23E-29,1.445356946,,,,
Acot9,6.16E-23,0.522791765,0.443,0.293,1.99E-18,1.436732787,,,,
Dusp16,1.06E-28,0.521380954,0.489,0.317,3.41E-24,1.435328493,,,,
Flvcr1,6.93E-29,0.508736687,0.784,0.66,2.24E-24,1.422803755,,,,
Slc38a2,2.43E-24,0.508268688,0.577,0.429,7.84E-20,1.422342283,,,,
Cdc14b,2.28E-19,0.507766063,0.687,0.593,7.36E-15,1.421846836,,,,
Gm13684,2.44E-16,0.488287094,0.305,0.186,7.88E-12,1.402778374,,,,
Mbnl2,1.36E-27,0.4834735,0.919,0.895,4.39E-23,1.398105762,,,,
Gm15261,1.00E-14,0.481639188,0.568,0.446,3.23E-10,1.396329273,,,,
Bdkrb2,2.53E-19,0.475070576,0.113,0.032,8.18E-15,1.389986215,,,,
Ptprj,9.15E-23,0.461632748,0.893,0.847,2.95E-18,1.377099448,,,,
Gm47719,4.53E-17,0.459117102,0.182,0.084,1.46E-12,1.374700274,,,,
Nr4a2,6.02E-20,0.455258341,0.186,0.081,1.94E-15,1.37102829,,,,
