rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Akap12,3.07E-17,1.547390231,0.544,0.364,9.90E-13,2.922879252,,167,449
Gm43305,1.59E-48,1.238783041,0.685,0.344,5.12E-44,2.359993754,,,
Gm13415,3.05E-23,1.236590341,0.507,0.28,9.85E-19,2.356409608,,,
Tfcp2l1,6.05E-08,1.049423041,0.265,0.158,0.001953194,2.069701972,,,
Slc6a6,2.58E-14,1.039376347,0.422,0.228,8.32E-10,2.055338972,,,
4930556N13Rik,9.26E-19,0.955544725,0.266,0.083,2.99E-14,1.93931173,,,
Bri3,1.37E-20,0.946382736,0.575,0.369,4.43E-16,1.927034948,,,
Gm20275,1.80E-20,0.931771192,0.658,0.466,5.81E-16,1.907616533,,,
Dapk1,2.18E-17,0.872842182,0.404,0.205,7.03E-13,1.831267037,,,
Aff1,4.32E-09,0.872128684,0.878,0.886,0.0001395,1.830361592,,,
Gm42836,1.25E-11,0.866450345,0.353,0.207,4.03E-07,1.823171585,,,
Slc1a3,1.28E-11,0.852989838,0.205,0.081,4.14E-07,1.806240297,,,
Gm26632,2.93E-18,0.837128338,0.482,0.265,9.46E-14,1.786490619,,,
Agrp,2.40E-17,0.836118891,0.395,0.201,7.75E-13,1.785241056,,,
Cyfip2,2.38E-18,0.834362104,0.43,0.211,7.67E-14,1.783068471,,,
Aqp1,3.03E-16,0.82875871,0.234,0.078,9.76E-12,1.776156506,,,
Tbc1d4,4.79E-15,0.819307253,0.905,0.853,1.55E-10,1.764558491,,,
Svil,3.92E-10,0.809607545,0.692,0.631,1.26E-05,1.752734583,,,
Arg2,6.59E-19,0.805593377,0.339,0.136,2.13E-14,1.747864537,,,
Satb2,1.64E-09,0.78886242,0.319,0.197,5.28E-05,1.727711607,,,
Sema4b,9.33E-12,0.787017277,0.547,0.421,3.01E-07,1.725503353,,,
3110021N24Rik,4.39E-15,0.763626448,0.265,0.104,1.42E-10,1.697752843,,,
Ldlr,4.16E-12,0.755059303,0.273,0.131,1.34E-07,1.687700965,,,
Chst8,2.92E-07,0.746148458,0.392,0.268,0.009423289,1.677308961,,,
Gm13684,4.87E-13,0.736162584,0.215,0.081,1.57E-08,1.665739251,,,
Egfros,2.28E-12,0.731999464,0.27,0.123,7.36E-08,1.660939431,,,
Tspan5,1.37E-10,0.730608857,0.589,0.454,4.41E-06,1.659339231,,,
Gm35188,4.32E-09,0.724352491,0.535,0.429,0.000139488,1.65215895,,,
Cacna1d,2.43E-08,0.724190352,0.544,0.444,0.000782403,1.65197328,,,
Srebf2,1.04E-12,0.71752056,0.491,0.34,3.35E-08,1.644353591,,,
