rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Atf3,2.65E-09,1.219101064,0.222,0.054,8.54E-05,2.328016146,,22,171
Csrp1,1.17E-08,1.195608282,0.568,0.382,0.000378594,2.290413822,,,
Gm13684,1.07E-11,1.164392183,0.622,0.393,3.45E-07,2.241387646,,,
Itgav,4.73E-17,1.07810719,0.924,0.789,1.52E-12,2.111264294,,,
Jun,8.72E-10,1.040684273,0.405,0.182,2.81E-05,2.057203157,,,
Btg2,2.31E-09,0.977872068,0.476,0.256,7.44E-05,1.969558226,,,
Klf6,8.42E-07,0.936977895,0.405,0.231,0.027172332,1.914513582,,,
Tshr,1.37E-09,0.932300728,0.784,0.65,4.42E-05,1.908316846,,,
Slc16a5,4.49E-08,0.863828145,0.427,0.225,0.001448178,1.819860851,,,
Trib1,7.01E-09,0.858869163,0.368,0.162,0.000226132,1.813616174,,,
Susd1,3.15E-07,0.852331481,0.584,0.43,0.010164985,1.805416229,,,
Hnf1b,4.81E-07,0.817317621,0.681,0.541,0.015533967,1.762126652,,,
Ptbp3,2.22E-09,0.791779545,0.811,0.738,7.17E-05,1.731208569,,,
Desi2,8.43E-07,0.781084546,0.724,0.598,0.027193849,1.718422211,,,
Slc26a4,2.36E-11,0.757954321,1,0.989,7.62E-07,1.69109103,,,
Rbms2,1.17E-06,0.699695577,0.405,0.242,0.037720776,1.624162042,,,
Nr6a1,4.10E-08,0.612542324,0.87,0.758,0.0013235,1.528951162,,,
Hepacam2,3.75E-08,0.611249427,0.897,0.829,0.001211437,1.527581578,,,
Bhlhe40,4.51E-07,0.572343701,0.308,0.137,0.014550493,1.486937183,,,
Arih1,1.05E-07,0.545892135,0.924,0.883,0.003389828,1.459922853,,,
Slc4a9,5.30E-08,0.441527326,1,1,0.001709512,1.358041273,,,
Malat1,7.33E-14,0.300838929,1,1,2.36E-09,1.231860534,,,
Map2k6,3.54E-07,-0.253457288,0.065,0.248,0.011416387,-1.192060359,,,
Ndufs2,5.30E-07,-0.290421336,0,0.125,0.017112537,-1.222997399,,,
Csgalnact1,1.33E-06,-0.293757162,0.016,0.148,0.043055596,-1.225828508,,,
Tomm20,6.17E-07,-0.314003386,0.027,0.177,0.01990043,-1.243152586,,,
Utp20,9.68E-07,-0.327020336,0.038,0.191,0.031246079,-1.254419886,,,
Mettl26,3.56E-08,-0.336755499,0.005,0.16,0.001148944,-1.262913211,,,
Plpbp,1.40E-06,-0.336758491,0.043,0.199,0.04511524,-1.26291583,,,
Cldn2,1.46E-08,-0.33890636,0,0.157,0.00046976,-1.264797446,,,
Tpmt,3.75E-09,-0.340243894,0.005,0.179,0.000120948,-1.265970594,,,
Pdk2,3.25E-07,-0.345075175,0.043,0.214,0.010489209,-1.270217169,,,
Txn1,9.39E-07,-0.352732111,0.005,0.131,0.030306915,-1.27697662,,,
Pcx,1.74E-07,-0.362998314,0.027,0.191,0.005617349,-1.286095981,,,
Gstz1,1.59E-07,-0.368718777,0.043,0.219,0.005117755,-1.291205633,,,
Adamts6,2.66E-07,-0.371604009,0.038,0.208,0.008573156,-1.293790486,,,
Lamp1,1.08E-07,-0.376060539,0.135,0.368,0.003481914,-1.297793225,,,
Tmem174,2.01E-07,-0.377272064,0,0.134,0.006495811,-1.298883524,,,
Psma4,5.34E-09,-0.381887529,0,0.165,0.000172436,-1.303045561,,,
Akr1a1,4.69E-08,-0.408400657,0.016,0.179,0.001513569,-1.327213676,,,
Gns,3.66E-08,-0.417856604,0.076,0.279,0.001181011,-1.335941286,,,
Dnajc6,1.11E-06,-0.418091269,0.022,0.162,0.035716165,-1.336158605,,,
Ndufa4,2.04E-07,-0.418936046,0.038,0.208,0.006588098,-1.336941228,,,
Pbx1,9.63E-07,-0.418989359,0.843,0.969,0.031065488,-1.336990634,,,
Mpv17l,1.58E-07,-0.420759901,0.092,0.285,0.00510209,-1.338632458,,,
Nox4,5.22E-16,-0.425976395,0.027,0.353,1.68E-11,-1.343481444,,,
Igfbp7,3.74E-07,-0.429952049,0.168,0.387,0.012081611,-1.347188799,,,
Gm10732,1.01E-06,-0.430039577,0.027,0.174,0.032677007,-1.347270536,,,
