rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Hmgcs2,0,1.94494538,0.673,0.068,0,3.850232,,273,355
Mctp1,0,1.919051,0.413,0.028,0,3.781742151,,,
Cyp4a14,0,1.819424072,0.551,0.123,0,3.529402757,,,
Pdk4,0,1.461544691,0.342,0.024,0,2.754030794,,,
Il34,1.45E-102,1.293409546,0.39,0.213,4.68E-98,2.451066363,,,
Thsd4,6.93E-234,1.051948276,0.391,0.114,2.24E-229,2.073327868,,,
Ehhadh,1.27E-175,1.026707372,0.526,0.273,4.11E-171,2.037369103,,,
Slc25a20,0,0.984843179,0.561,0.189,0,1.979098173,,,
Acox1,0,0.979759029,0.977,0.942,0,1.972135979,,,
Dgkh,1.64E-206,0.944578117,0.768,0.536,5.29E-202,1.924625992,,,
Tacc2,1.78E-235,0.920991347,0.932,0.847,5.73E-231,1.893415906,,,
Gm16311,2.73E-176,0.896672853,0.903,0.813,8.81E-172,1.861767416,,,
Gm43305,1.30E-252,0.870503424,0.633,0.319,4.21E-248,1.828300769,,,
Rab30,5.97E-267,0.869137818,0.427,0.112,1.93E-262,1.826570981,,,
Slc13a1,1.52E-107,0.807093723,0.942,0.937,4.89E-103,1.749683193,,,
Fgfr2,1.60E-173,0.776477596,0.886,0.808,5.15E-169,1.712943536,,,
Cyp4a31,7.58E-223,0.77324723,0.424,0.138,2.45E-218,1.709112342,,,
Txnip,1.95E-199,0.76996728,0.313,0.075,6.30E-195,1.705231109,,,
Il7,1.21E-136,0.76840208,0.684,0.462,3.91E-132,1.703382083,,,
Cyp4a12b,1.20E-266,0.754577443,0.32,0.044,3.86E-262,1.687137367,,,
Slc25a30,8.72E-163,0.749787442,0.679,0.419,2.81E-158,1.681545063,,,
Tmcc3,7.64E-131,0.7387022,0.631,0.428,2.46E-126,1.66867408,,,
Acot12,5.97E-156,0.720654196,0.722,0.493,1.93E-151,1.647929126,,,
Pxmp4,1.36E-199,0.694061768,0.684,0.391,4.39E-195,1.617831962,,,
Gstt2,5.26E-187,0.68977588,0.813,0.576,1.70E-182,1.613032917,,,
Fmn1,6.20E-137,0.677485309,0.854,0.706,2.00E-132,1.599349577,,,
Trpm3,1.78E-130,0.664739033,0.359,0.149,5.74E-126,1.585281488,,,
Acsl1,2.61E-164,0.664471268,0.779,0.527,8.43E-160,1.584987286,,,
Agmo,4.27E-111,0.655272771,0.702,0.516,1.38E-106,1.574913695,,,
Herpud1,9.57E-77,0.64437623,0.637,0.521,3.09E-72,1.563063328,,,
Tob2,6.74E-145,0.630406275,0.674,0.421,2.17E-140,1.548000862,,,
Vwa8,5.01E-200,0.603813836,0.953,0.864,1.62E-195,1.51972874,,,
Rora,5.12E-125,0.600301281,0.922,0.88,1.65E-120,1.51603313,,,
9630028H03Rik,1.50E-131,0.584860663,0.384,0.166,4.82E-127,1.49989412,,,
Gm15962,6.79E-57,0.581722128,0.454,0.301,2.19E-52,1.496634698,,,
Abhd6,1.89E-125,0.580004727,0.316,0.122,6.10E-121,1.494854147,,,
Sgk1,6.46E-128,0.579939205,0.214,0.05,2.08E-123,1.494786257,,,
Nat8f3,4.37E-60,0.571259803,0.551,0.388,1.41E-55,1.485820465,,,
Gabrb3,6.98E-60,0.567363209,0.375,0.229,2.25E-55,1.481812809,,,
Abcd3,2.36E-99,0.563009477,0.791,0.658,7.62E-95,1.477347768,,,
Gm16599,5.87E-105,0.553472711,0.629,0.428,1.89E-100,1.467614141,,,
Glud1,1.77E-93,0.549443867,0.91,0.863,5.70E-89,1.463521426,,,
Acaa1b,3.72E-08,0.543132882,0.198,0.171,0.001199303,1.45713332,,,
Myo1e,3.01E-78,0.535847908,0.669,0.498,9.72E-74,1.449793984,,,
Gm35188,8.99E-70,0.534357407,0.609,0.459,2.90E-65,1.448296923,,,
Gm42439,1.05E-117,0.534234273,0.491,0.26,3.39E-113,1.448173316,,,
Ralgapa2,4.30E-137,0.532414689,0.919,0.803,1.39E-132,1.446347973,,,
Nr1h4,1.77E-176,0.530397854,0.983,0.967,5.70E-172,1.444327444,,,
Slc16a10,1.38E-20,0.526907201,0.745,0.679,4.47E-16,1.440837066,,,
Psat1,4.71E-134,0.526770753,0.287,0.091,1.52E-129,1.4407008,,,
Resf1,2.02E-27,0.520862075,0.625,0.541,6.51E-23,1.434812357,,,
Igsf11,5.26E-104,0.515833634,0.873,0.744,1.70E-99,1.429820096,,,
4930556N13Rik,1.27E-90,0.510449672,0.402,0.216,4.09E-86,1.424494126,,,
Rreb1,9.23E-107,0.509385856,0.903,0.793,2.98E-102,1.423444118,,,
Gm26632,4.50E-103,0.507833501,0.424,0.217,1.45E-98,1.4219133,,,
Gm7480,1.57E-116,0.507798165,0.367,0.162,5.07E-112,1.421878474,,,
Plin2,3.73E-107,0.504333144,0.311,0.132,1.20E-102,1.418467547,,,
Pakap.1,2.80E-24,0.503202232,0.876,0.836,9.05E-20,1.417356063,,,
Slc2a2,8.86E-70,0.502148502,0.769,0.633,2.86E-65,1.416321218,,,
Chka,6.00E-46,0.501345013,0.779,0.689,1.93E-41,1.415532637,,,
Tmem178b,3.30E-80,0.499137092,0.299,0.141,1.06E-75,1.413367942,,,
1600010M07Rik,4.60E-119,0.498280787,0.504,0.267,1.48E-114,1.412529293,,,
Slc25a42,2.39E-87,0.496200772,0.626,0.427,7.72E-83,1.410494238,,,
Sqstm1,1.41E-105,0.495507531,0.644,0.427,4.53E-101,1.409816633,,,
Gcnt2,1.47E-50,0.492376906,0.793,0.698,4.76E-46,1.40676067,,,
Large1,8.53E-118,0.490006652,0.892,0.748,2.75E-113,1.404451352,,,
Gm20400,9.95E-89,0.488058999,0.488,0.302,3.21E-84,1.402556607,,,
Gm22146,8.17E-89,0.484658016,0.471,0.268,2.64E-84,1.39925414,,,
Trim24,2.96E-62,0.484328099,0.621,0.464,9.53E-58,1.398934193,,,
Mpp1,2.25E-34,0.480902977,0.531,0.424,7.24E-30,1.395616904,,,
Sec24a,2.51E-87,0.474516808,0.758,0.603,8.08E-83,1.389452782,,,
Ext1,1.44E-101,0.473918908,0.968,0.953,4.64E-97,1.388877067,,,
Pdzrn3,1.01E-74,0.473204492,0.825,0.696,3.25E-70,1.388189472,,,
Gm13963,1.93E-87,0.471988866,0.224,0.081,6.23E-83,1.387020265,,,
Nkain1,9.60E-120,0.469690342,0.249,0.073,3.10E-115,1.384812202,,,
Aco2,1.44E-68,0.462708831,0.776,0.66,4.66E-64,1.378126987,,,
Cyp4a12a,2.60E-121,0.460408901,0.325,0.127,8.39E-117,1.375931741,,,
Sycp3,6.87E-60,0.460116331,0.461,0.315,2.22E-55,1.375652739,,,
Lpin2,1.09E-60,0.454345252,0.683,0.541,3.51E-56,1.370160835,,,
Slc16a14,6.68E-30,0.454139076,0.919,0.916,2.16E-25,1.369965038,,,
Sik2,4.97E-76,0.453775557,0.777,0.636,1.60E-71,1.369619889,,,
Glul,1.16E-33,0.451946357,0.577,0.464,3.73E-29,1.367884442,,,
Plk3,2.59E-61,0.448450588,0.533,0.377,8.35E-57,1.364573958,,,
Ucp2,5.40E-230,0.447223866,0.227,0.01,1.74E-225,1.363414155,,,
Flnb,3.35E-82,0.445355826,0.812,0.663,1.08E-77,1.361649913,,,
Col8a1,1.60E-24,0.442591545,0.473,0.374,5.16E-20,1.359043416,,,
Ddhd2,2.08E-82,0.440818814,0.396,0.22,6.72E-78,1.357374498,,,
Sh3rf1,1.54E-91,0.439828714,0.972,0.953,4.97E-87,1.356443272,,,
Gldc,2.17E-156,0.438456333,0.988,0.956,6.99E-152,1.355153553,,,
Gm26827,3.59E-43,0.437827171,0.349,0.225,1.16E-38,1.354562697,,,
Cep85,8.63E-51,0.434626473,0.831,0.736,2.79E-46,1.351560857,,,
Slc39a14,9.09E-71,0.433897053,0.677,0.514,2.93E-66,1.350877686,,,
Angptl4,7.09E-165,0.430559201,0.292,0.077,2.29E-160,1.347755878,,,
Gucy1a1,5.21E-102,0.430442785,0.139,0.021,1.68E-97,1.347647127,,,
Gm49708,1.88E-76,0.430433677,0.185,0.062,6.06E-72,1.347638619,,,
Ackr4,2.39E-77,0.429798499,0.401,0.232,7.71E-73,1.347045422,,,
Eci1,8.55E-129,0.426820252,0.356,0.145,2.76E-124,1.344267499,,,
Hsdl2,2.87E-115,0.426653381,0.355,0.156,9.27E-111,1.344112022,,,
Malat1,0,0.425593485,1,1,0,1.343124914,,,
Aspa,9.16E-54,0.42535279,0.919,0.884,2.95E-49,1.342900849,,,
Vnn1,1.09E-124,0.424856914,0.259,0.082,3.52E-120,1.342439353,,,
Enpp6,1.58E-24,0.423036345,0.601,0.512,5.09E-20,1.340746367,,,
Gm48678,2.81E-57,0.419740438,0.499,0.346,9.07E-53,1.337686864,,,
Gm15441,1.22E-131,0.417655587,0.136,0.006,3.94E-127,1.335755157,,,
Mbnl2,1.53E-50,0.417473154,0.778,0.701,4.92E-46,1.335586258,,,
Klf10,1.56E-127,0.415394628,0.292,0.096,5.03E-123,1.333663431,,,
Fyb2,3.24E-39,0.414450813,0.331,0.222,1.04E-34,1.33279123,,,
Kmo,2.01E-54,0.413355573,0.668,0.518,6.49E-50,1.33177981,,,
Gm34408,6.01E-92,0.411534497,0.216,0.07,1.94E-87,1.330099799,,,
