rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Pdk4,7.25E-137,2.061085432,0.635,0.193,2.34E-132,4.17300148,,291,350
Slc25a33,3.80E-56,1.088028393,0.416,0.15,1.23E-51,2.125833186,,,
Gm43305,3.39E-62,0.933297106,0.417,0.14,1.09E-57,1.909635255,,,
Egr1,3.11E-76,0.930362174,0.409,0.085,1.00E-71,1.905754357,,,
Myo1e,2.22E-49,0.909894703,0.763,0.591,7.15E-45,1.878908358,,,
1600010M07Rik,6.16E-51,0.90235076,0.602,0.357,1.99E-46,1.869109072,,,
Nmrk1,1.60E-11,0.891164236,0.342,0.258,5.15E-07,1.854672216,,,
1810034E14Rik,5.53E-45,0.887623481,0.52,0.293,1.78E-40,1.850125941,,,
Fnip2,1.89E-18,0.850997762,0.386,0.263,6.09E-14,1.803747959,,,
Fkbp5,9.18E-38,0.845895802,0.881,0.868,2.96E-33,1.797380433,,,
Coq10b,2.47E-26,0.843912714,0.562,0.424,7.97E-22,1.794911502,,,
Gm22146,1.86E-38,0.816568735,0.43,0.211,6.00E-34,1.761212191,,,
Bhlhe40,3.02E-34,0.816019273,0.425,0.236,9.74E-30,1.760541546,,,
Defb1,5.01E-16,0.793465955,0.507,0.392,1.62E-11,1.733233414,,,
Nav2,1.84E-31,0.770898731,0.716,0.585,5.94E-27,1.706332417,,,
Acacb,3.73E-33,0.749489083,0.639,0.49,1.20E-28,1.681197345,,,
Cdr2,4.62E-10,0.741918194,0.279,0.202,1.49E-05,1.672397967,,,
Pcsk6,6.29E-33,0.741397992,0.696,0.513,2.03E-28,1.671795047,,,
Foxo3,1.56E-31,0.728882577,0.895,0.865,5.04E-27,1.657354909,,,
Gcnt2,4.57E-26,0.723769589,0.837,0.765,1.47E-21,1.651491552,,,
Ell2,2.74E-24,0.71727238,0.493,0.344,8.83E-20,1.644070744,,,
Gm35188,1.48E-42,0.713542821,0.874,0.78,4.78E-38,1.639826091,,,
Cdc14b,5.01E-32,0.700430645,0.71,0.578,1.62E-27,1.624989781,,,
4930556J24Rik,1.61E-15,0.697625724,0.52,0.415,5.19E-11,1.621833507,,,
Actn4,1.80E-34,0.694220594,0.73,0.594,5.79E-30,1.618010078,,,
Gm17276,3.49E-23,0.680797041,0.531,0.367,1.13E-18,1.603025129,,,
H3f3b,1.51E-12,0.675656398,0.411,0.334,4.86E-08,1.597323358,,,
Fli1,8.18E-19,0.674318388,0.488,0.36,2.64E-14,1.595842627,,,
Spsb1,1.20E-30,0.673807507,0.18,0.035,3.87E-26,1.595277614,,,
Sh3pxd2a,2.04E-22,0.672485828,0.632,0.509,6.58E-18,1.593816821,,,
Sqstm1,8.37E-23,0.67045856,0.463,0.316,2.70E-18,1.59157877,,,
Vps37b,1.43E-30,0.651895426,0.424,0.238,4.61E-26,1.571231138,,,
Acsl1,5.67E-27,0.635511425,0.809,0.703,1.83E-22,1.553488353,,,
Zbtb7c,1.76E-22,0.634990508,0.34,0.186,5.68E-18,1.552927533,,,
Stat3,6.30E-30,0.631011997,0.777,0.643,2.03E-25,1.548650934,,,
Rbms3,8.97E-19,0.625357751,0.584,0.46,2.90E-14,1.542593301,,,
Sgms2,2.22E-18,0.625267109,0.674,0.592,7.17E-14,1.542496386,,,
Zbtb16,8.53E-36,0.621066018,0.944,0.932,2.75E-31,1.538011209,,,
Klf9,5.55E-22,0.61787962,0.71,0.617,1.79E-17,1.53461804,,,
Mt1,1.11E-20,0.615464461,0.184,0.066,3.59E-16,1.532051146,,,
Ildr1,2.76E-22,0.614785399,0.5,0.357,8.89E-18,1.531330194,,,
Fgfr2,1.03E-27,0.60373916,0.847,0.82,3.32E-23,1.519650078,,,
Lifr,6.92E-27,0.596339141,0.65,0.51,2.23E-22,1.51187529,,,
Piezo1,3.04E-20,0.594831957,0.69,0.568,9.81E-16,1.510296658,,,
Klf13,8.66E-22,0.594798839,0.515,0.362,2.79E-17,1.510261988,,,
Ube2h,5.52E-18,0.588425967,0.645,0.534,1.78E-13,1.503605364,,,
Zfp36l1,6.31E-18,0.586438794,0.403,0.275,2.04E-13,1.501535719,,,
Ckb,1.40E-26,0.585232612,0.375,0.202,4.52E-22,1.500280867,,,
Slc25a20,2.36E-25,0.582081838,0.353,0.185,7.63E-21,1.497007903,,,
Kcnt1,1.72E-23,0.581699706,0.589,0.425,5.55E-19,1.496611438,,,
Gm45847,2.15E-21,0.576436618,0.2,0.074,6.95E-17,1.491161604,,,
Ahcyl2,2.00E-24,0.567762904,0.915,0.899,6.46E-20,1.482223398,,,
Gm15283,1.15E-22,0.566810294,0.32,0.164,3.73E-18,1.48124501,,,
Ifrd1,1.54E-17,0.556696554,0.562,0.417,4.98E-13,1.470897335,,,
Reep3,3.27E-20,0.555495973,0.637,0.524,1.06E-15,1.469673794,,,
Btg2,1.74E-22,0.552575551,0.28,0.131,5.62E-18,1.466701769,,,
Wee1,3.84E-20,0.552556786,0.365,0.217,1.24E-15,1.466682692,,,
Srebf2,9.05E-18,0.551059767,0.515,0.404,2.92E-13,1.465161571,,,
Mef2d,2.34E-19,0.548060177,0.607,0.485,7.56E-15,1.462118434,,,
Tnfaip2,3.21E-20,0.543781162,0.273,0.134,1.03E-15,1.457788235,,,
Gm31763,9.45E-19,0.540665547,0.293,0.16,3.05E-14,1.454643421,,,
Chp1,9.17E-12,0.533457263,0.493,0.395,2.96E-07,1.447393566,,,
Ppargc1a,1.53E-26,0.532676606,0.967,0.967,4.94E-22,1.446610578,,,
Tmem65,5.06E-15,0.527022705,0.56,0.456,1.63E-10,1.440952427,,,
Scel,2.90E-14,0.525883667,0.334,0.213,9.35E-10,1.439815213,,,
Samd4,1.31E-09,0.525805035,0.304,0.211,4.22E-05,1.43973674,,,
Mturn,1.21E-17,0.524370922,0.553,0.453,3.92E-13,1.438306279,,,
Fndc9,8.08E-19,0.517674525,0.714,0.622,2.61E-14,1.431645723,,,
Sned1,1.05E-10,0.513538613,0.318,0.222,3.38E-06,1.427547364,,,
Klhl7,2.46E-16,0.511575088,0.453,0.336,7.93E-12,1.425605776,,,
Slc39a14,7.01E-14,0.510243568,0.453,0.342,2.26E-09,1.424290636,,,
Dusp16,1.62E-17,0.503874999,0.504,0.369,5.21E-13,1.418017167,,,
Txnip,3.72E-18,0.50177653,0.68,0.542,1.20E-13,1.415956093,,,
Gm47719,2.23E-15,0.500374101,0.21,0.103,7.21E-11,1.414580325,,,
Ocln,8.03E-16,0.498745002,0.614,0.513,2.59E-11,1.412983876,,,
Vcl,1.48E-16,0.498317891,0.566,0.438,4.77E-12,1.412565622,,,
Cpt1b,3.33E-20,0.49714024,0.403,0.25,1.07E-15,1.411413036,,,
Zswim6,6.76E-14,0.493523456,0.758,0.702,2.18E-09,1.407879107,,,
Junb,2.86E-31,0.492088477,0.228,0.066,9.22E-27,1.406479454,,,
Ubash3b,1.09E-12,0.491148029,0.547,0.437,3.53E-08,1.405562912,,,
5930430L01Rik,7.90E-20,0.4893541,0.244,0.114,2.55E-15,1.403816241,,,
Gm15261,6.21E-11,0.48707961,0.641,0.563,2.01E-06,1.40160479,,,
Ogdh,2.45E-30,0.485105731,0.909,0.853,7.89E-26,1.399688441,,,
Cs,2.40E-13,0.481668773,0.474,0.382,7.75E-09,1.396357907,,,
Bri3,6.28E-15,0.480505455,0.488,0.379,2.03E-10,1.395232407,,,
Myo10,2.47E-18,0.478723201,0.877,0.847,7.97E-14,1.393509851,,,
Cdkn1a,2.20E-28,0.478326262,0.178,0.04,7.10E-24,1.393126497,,,
Ddr1,2.94E-15,0.474381914,0.465,0.329,9.50E-11,1.389322873,,,
Lnx1,2.07E-22,0.47350578,0.846,0.797,6.67E-18,1.388479407,,,
Spire1,3.68E-16,0.473409079,0.707,0.615,1.19E-11,1.388386343,,,
Gm37240,5.59E-18,0.469430627,0.699,0.586,1.80E-13,1.384562929,,,
Usp53,1.15E-10,0.469358135,0.741,0.667,3.71E-06,1.38449336,,,
Anxa2,2.25E-11,0.466410984,0.279,0.18,7.25E-07,1.381667991,,,
Got1,9.16E-18,0.461726709,0.599,0.456,2.96E-13,1.37718914,,,
Ano4,2.85E-13,0.461669094,0.492,0.371,9.18E-09,1.377134142,,,
Rab27a,4.09E-12,0.461600362,0.296,0.195,1.32E-07,1.377068534,,,
Rgs7,2.63E-10,0.45910445,0.318,0.216,8.47E-06,1.374688219,,,
Arrdc3,8.63E-14,0.458844671,0.594,0.517,2.78E-09,1.374440707,,,
Slc43a2,1.10E-09,0.457460941,0.639,0.556,3.56E-05,1.373123074,,,
Gm26632,1.32E-18,0.456142988,0.353,0.201,4.24E-14,1.37186925,,,
Agfg2,5.68E-12,0.455579181,0.294,0.193,1.83E-07,1.371333227,,,
Hk1,2.60E-18,0.454921889,0.793,0.731,8.39E-14,1.370708589,,,
Cyth3,3.45E-15,0.454712986,0.54,0.425,1.11E-10,1.370510124,,,
Arhgef38,1.80E-08,0.45265038,0.453,0.391,0.000582364,1.368552121,,,
Hmcn1,1.95E-24,0.451725285,0.107,0.007,6.30E-20,1.367674849,,,
Bcar3,8.84E-09,0.45102425,0.333,0.25,0.0002851,1.36701043,,,
Sox5os4,1.82E-12,0.449254222,0.227,0.128,5.86E-08,1.365334287,,,
Lpcat3,8.69E-12,0.448340225,0.625,0.523,2.80E-07,1.364469574,,,
Gm36975,2.70E-13,0.448174525,0.48,0.359,8.71E-09,1.364312867,,,
Epcam,9.32E-16,0.446667463,0.436,0.301,3.01E-11,1.36288843,,,
Dcbld2,3.03E-08,0.44570085,0.355,0.276,0.000976998,1.361975593,,,
Dstn,8.92E-07,0.442694099,0.417,0.355,0.028791796,1.359140027,,,
Ldlrad4,8.53E-12,0.442675265,0.505,0.399,2.75E-07,1.359122284,,,
Slc1a5,2.70E-09,0.437075327,0.518,0.441,8.72E-05,1.353856966,,,
Timm23,3.26E-15,0.427837386,0.574,0.46,1.05E-10,1.345215574,,,
Eci2,9.93E-19,0.425432104,0.261,0.135,3.21E-14,1.342974679,,,
Elovl6,6.99E-07,0.424855314,0.261,0.191,0.022543067,1.342437864,,,
Epb41,6.46E-19,0.424791533,0.977,0.978,2.08E-14,1.342378517,,,
Nudt4,1.02E-22,0.424186564,0.935,0.897,3.28E-18,1.341815732,,,
Gys1,8.72E-10,0.423528261,0.547,0.46,2.81E-05,1.3412036,,,
Pmepa1,6.69E-11,0.422049492,0.352,0.255,2.16E-06,1.339829565,,,
Mfsd4a,1.47E-15,0.421942333,0.689,0.582,4.73E-11,1.33973005,,,
Slc7a1,1.43E-16,0.42078305,0.194,0.085,4.62E-12,1.338653937,,,
Gse1,1.32E-16,0.420654426,0.327,0.197,4.25E-12,1.338534595,,,
Proser2,2.06E-16,0.418612531,0.156,0.057,6.64E-12,1.336641462,,,
Tfrc,2.86E-12,0.418147826,0.349,0.244,9.22E-08,1.336210986,,,
Tob2,1.45E-12,0.416183853,0.502,0.373,4.67E-08,1.33439321,,,
Hadha,9.22E-15,0.416067279,0.555,0.429,2.97E-10,1.334285392,,,
Gm46124,2.70E-09,0.415974216,0.357,0.27,8.72E-05,1.334199325,,,
Esrrb,1.00E-21,0.415801898,0.934,0.909,3.23E-17,1.334039975,,,
Phykpl,2.64E-15,0.415644996,0.323,0.202,8.52E-11,1.333894898,,,
Map3k14,2.11E-14,0.41465249,0.317,0.198,6.80E-10,1.332977557,,,
Per1,3.45E-21,0.41306961,0.399,0.235,1.11E-16,1.331515857,,,
Deptor,3.21E-08,0.410412403,0.612,0.56,0.001035205,1.329065682,,,
Mar-03,9.07E-07,0.409709045,0.537,0.487,0.029273922,1.328417879,,,
Malat1,1.62E-169,0.40823366,0.999,1,5.23E-165,1.327060054,,,
Map2k3,1.94E-12,0.408140099,0.184,0.098,6.25E-08,1.326973996,,,
Nectin2,9.15E-15,0.405323893,0.291,0.172,2.95E-10,1.324386209,,,
Tmem116,7.84E-14,0.402075751,0.767,0.711,2.53E-09,1.321407787,,,
Usp50,9.91E-15,0.400599155,0.414,0.286,3.20E-10,1.32005602,,,
Tacc2,1.75E-16,0.399155011,0.671,0.571,5.65E-12,1.318735299,,,
Selenbp1,2.65E-09,0.397204606,0.297,0.209,8.54E-05,1.316953682,,,
Casp7,1.08E-08,0.396056241,0.291,0.211,0.000347021,1.315905823,,,
Nfat5,9.25E-20,0.395729345,0.953,0.948,2.99E-15,1.315607689,,,
Gm19522,3.12E-13,0.39402567,0.236,0.135,1.01E-08,1.314055008,,,
Tbc1d9,3.15E-12,0.392195618,0.271,0.171,1.02E-07,1.312389192,,,
Ephb2,1.19E-13,0.391565728,0.795,0.747,3.83E-09,1.311816319,,,
Pim3,2.09E-25,0.390830844,0.119,0.011,6.75E-21,1.311148273,,,
Ppard,1.74E-10,0.390670975,0.281,0.184,5.63E-06,1.311002989,,,
Mettl9,1.34E-08,0.390654391,0.428,0.344,0.00043187,1.310987919,,,
Gm15886,5.23E-13,0.39040071,0.276,0.166,1.69E-08,1.310757417,,,
Ell,5.53E-14,0.389075121,0.321,0.204,1.79E-09,1.309553609,,,
Igsf6,5.14E-12,0.388444861,0.183,0.094,1.66E-07,1.308981639,,,
Polr3h,2.85E-12,0.387219135,0.455,0.343,9.18E-08,1.30786999,,,
Sp4,3.64E-08,0.387179622,0.356,0.273,0.001173456,1.30783417,,,
Aplp2,3.11E-12,0.387148744,0.538,0.441,1.00E-07,1.307806179,,,
P2rx4,2.53E-12,0.387129282,0.263,0.161,8.16E-08,1.307788536,,,
Etf1,1.51E-12,0.386850437,0.495,0.383,4.86E-08,1.30753579,,,
Pard3bos1,8.65E-12,0.38406895,0.365,0.25,2.79E-07,1.305017316,,,
Cry2,7.61E-13,0.380969179,0.231,0.131,2.45E-08,1.30221637,,,
Sesn2,1.46E-17,0.38055133,0.21,0.094,4.70E-13,1.301839262,,,
Ski,4.22E-12,0.379904231,0.543,0.438,1.36E-07,1.301255473,,,
Gm20275,2.90E-09,0.376675573,0.434,0.34,9.35E-05,1.298346603,,,
Zfp710,2.17E-10,0.376280396,0.626,0.546,7.01E-06,1.297991014,,,
Mtch1,8.07E-14,0.373597385,0.314,0.201,2.61E-09,1.295579356,,,
Usp2,5.96E-13,0.373588642,0.741,0.659,1.92E-08,1.295571505,,,
Plekhm2,2.17E-11,0.371285984,0.533,0.419,7.00E-07,1.293505317,,,
Aff4,3.78E-12,0.369097811,0.68,0.597,1.22E-07,1.291544911,,,
Arhgef37,5.46E-11,0.36411553,0.172,0.088,1.76E-06,1.287092312,,,
