rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Tmcc3,2.35E-07,0.995914975,0.635,0.516,0.007588841,1.994344962,,15,416
Entpd1,5.99E-08,0.835846859,0.785,0.714,0.00193234,1.784904466,,,
Egr1,4.92E-08,0.822692379,0.334,0.126,0.001587088,1.768703696,,,
Ednrb,2.92E-07,0.733486142,0.762,0.681,0.009423722,1.662651889,,,
Rin2,7.51E-08,0.661201145,0.802,0.725,0.002423051,1.581398701,,,
Flt1,2.71E-15,0.638387946,0.989,0.989,8.76E-11,1.55658887,,,
Prkch,1.18E-13,0.631740686,0.974,0.967,3.82E-09,1.549433338,,,
Lrch1,3.81E-07,0.602679482,0.808,0.747,0.012283979,1.518534286,,,
Sash1,5.60E-09,0.542648089,0.915,0.901,0.000180672,1.456643757,,,
Ebf1,4.29E-07,0.530750624,0.897,0.885,0.013841505,1.444680657,,,
Rapgef4,4.85E-08,0.522054735,0.923,0.863,0.001565431,1.435998991,,,
Ptprb,9.04E-07,0.461262312,0.969,0.978,0.02916189,1.3767459,,,
Limch1,3.61E-07,0.454892499,0.962,0.951,0.011638206,1.370680666,,,
Pbx1,1.51E-09,0.454006701,0.997,1,4.88E-05,1.369839343,,,
Ldb2,6.15E-08,0.436823434,0.98,0.956,0.001983122,1.353620605,,,
Smad2,7.61E-07,-0.250067819,0.211,0.429,0.024540925,-1.189263019,,,
Gpam,8.65E-20,-0.25114267,0,0.11,2.79E-15,-1.190149386,,,
Lpl,2.38E-08,-0.253624763,0.023,0.115,0.00076657,-1.192198748,,,
Ccs,1.64E-10,-0.254588265,0.03,0.148,5.28E-06,-1.192995222,,,
Lap3,1.77E-09,-0.255395194,0.022,0.121,5.72E-05,-1.193662675,,,
Ak2,1.01E-20,-0.257573462,0,0.115,3.27E-16,-1.195466301,,,
Glyat,8.65E-20,-0.257726715,0,0.11,2.79E-15,-1.195593298,,,
St8sia1,7.36E-19,-0.259444734,0,0.104,2.37E-14,-1.197017906,,,
Gsap,3.59E-09,-0.259798313,0.016,0.104,0.00011573,-1.19731131,,,
Rfx7,1.19E-06,-0.260855179,0.283,0.516,0.038514446,-1.198188739,,,
Aoah,8.65E-20,-0.263002505,0,0.11,2.79E-15,-1.199973466,,,
Gstz1,2.76E-27,-0.265469071,0,0.154,8.89E-23,-1.202026807,,,
Ivd,1.90E-15,-0.268276624,0.007,0.115,6.13E-11,-1.204368286,,,
Cep85,6.28E-15,-0.268288552,0.023,0.165,2.02E-10,-1.204378243,,,
Rnf152,1.94E-16,-0.269088533,0.003,0.104,6.27E-12,-1.205046262,,,
Pdgfc,1.13E-06,-0.26963134,0.027,0.11,0.036361854,-1.20549974,,,
Uap1,2.42E-26,-0.270935743,0,0.148,7.80E-22,-1.206590178,,,
Pcsk5,2.37E-08,-0.271548436,0.049,0.17,0.00076361,-1.207102709,,,
Fam184a,8.65E-20,-0.272341032,0,0.11,2.79E-15,-1.207766056,,,
Slc16a7,1.02E-07,-0.272918184,0.045,0.154,0.003278797,-1.208249321,,,
Hacl1,6.40E-10,-0.274217902,0.042,0.17,2.06E-05,-1.209338319,,,
Rpl22l1,1.57E-07,-0.275189414,0.03,0.121,0.005060842,-1.210152962,,,
Zfp503,3.90E-11,-0.27544279,0.037,0.17,1.26E-06,-1.210365516,,,
Usp24,3.48E-07,-0.278234137,0.276,0.5,0.011218388,-1.212709615,,,
Vps37a,2.97E-08,-0.279132442,0.12,0.302,0.00095823,-1.213464953,,,
Them7,7.36E-19,-0.279784966,0,0.104,2.37E-14,-1.214013922,,,
Dek,9.14E-07,-0.280377344,0.139,0.308,0.029492322,-1.214512505,,,
Slc16a2,4.12E-08,-0.28322593,0.046,0.159,0.001328236,-1.216912916,,,
Impa1,4.64E-16,-0.284321141,0.015,0.148,1.50E-11,-1.217837076,,,
Inpp5b,3.99E-12,-0.286263834,0.027,0.154,1.29E-07,-1.219478087,,,
Prdm16,4.02E-07,-0.287893745,0.026,0.11,0.012955064,-1.220856593,,,
Dusp6,1.08E-08,-0.288417828,0.018,0.104,0.00034814,-1.22130017,,,
Tram1,1.00E-06,-0.28899603,0.112,0.264,0.032370088,-1.22178974,,,
Mturn,1.76E-14,-0.291255772,0.005,0.104,5.68E-10,-1.22370497,,,
Tpmt,3.54E-29,-0.291318029,0,0.165,1.14E-24,-1.223757778,,,
Frrs1,1.18E-21,-0.292202564,0,0.121,3.81E-17,-1.22450831,,,
Evc2,1.23E-06,-0.29243139,0.042,0.137,0.039829224,-1.224702544,,,
Dock2,6.39E-09,-0.292590084,0.053,0.187,0.000206078,-1.224837267,,,
Ssr3,2.87E-08,-0.293140764,0.061,0.192,0.000926717,-1.225304879,,,
Pclo,4.68E-08,-0.293336978,0.03,0.126,0.001510581,-1.225471538,,,
Hsd11b1,5.43E-08,-0.294249443,0.05,0.17,0.001752011,-1.226246861,,,
Slc2a2,1.84E-24,-0.295966127,0,0.137,5.92E-20,-1.227706858,,,
A4galt,1.08E-06,-0.298170168,0.043,0.143,0.034822017,-1.22958389,,,
A1cf,1.04E-14,-0.298840681,0.009,0.121,3.36E-10,-1.23015549,,,
Uba3,1.02E-06,-0.299195774,0.085,0.22,0.032780661,-1.230458307,,,
Kl,1.25E-14,-0.300331093,0.023,0.165,4.03E-10,-1.231426989,,,
Hao2,2.85E-09,-0.300674266,0.037,0.154,9.18E-05,-1.231719942,,,
Acss3,3.82E-11,-0.300724624,0.015,0.115,1.23E-06,-1.231762937,,,
Slc7a7,1.79E-24,-0.301027279,0.005,0.165,5.78E-20,-1.232021368,,,
Lpin1,2.42E-26,-0.301200666,0,0.148,7.80E-22,-1.232169445,,,
Ctnna2,1.37E-22,-0.301844138,0,0.126,4.43E-18,-1.232719141,,,
Acox3,6.32E-13,-0.303115276,0.009,0.11,2.04E-08,-1.233805751,,,
Gpc5,7.58E-15,-0.304416061,0.012,0.132,2.45E-10,-1.234918696,,,
Grm7,5.59E-08,-0.30455903,0.027,0.121,0.001802716,-1.23504108,,,
Fbp1,2.33E-07,-0.304586573,0.103,0.253,0.007504327,-1.23506466,,,
Iqgap2,3.75E-07,-0.305225391,0.055,0.165,0.012099905,-1.235611661,,,
Tenm3,3.21E-08,-0.305849669,0.022,0.11,0.00103558,-1.236146446,,,
Prcp,1.05E-09,-0.305957664,0.023,0.126,3.40E-05,-1.236238983,,,
Vim,1.72E-09,-0.306794153,0.032,0.148,5.55E-05,-1.236955974,,,
Ar,2.42E-08,-0.307454878,0.187,0.39,0.000779408,-1.237522605,,,
Bmpr1a,9.03E-12,-0.307619178,0.045,0.192,2.91E-07,-1.237663547,,,
Nob1,8.78E-13,-0.308125703,0.02,0.143,2.83E-08,-1.238098163,,,
Ugt2b37,2.22E-17,-0.308909957,0.011,0.143,7.18E-13,-1.23877138,,,
Nmnat3,1.39E-06,-0.309623874,0.051,0.154,0.044877665,-1.239384537,,,
Acad11,5.64E-10,-0.309684626,0.03,0.143,1.82E-05,-1.239436729,,,
Eva1a,8.39E-14,-0.311508106,0.009,0.115,2.71E-09,-1.241004293,,,
Ddah1,1.26E-16,-0.311727966,0.032,0.203,4.05E-12,-1.241193431,,,
Gnai1,4.81E-20,-0.312388925,0.004,0.132,1.55E-15,-1.241762203,,,
Cldn10,2.11E-25,-0.31261939,0,0.143,6.81E-21,-1.241960586,,,
Ninl,4.57E-07,-0.313466881,0.028,0.115,0.014754819,-1.242690373,,,
Slc39a14,1.59E-23,-0.313754118,0,0.132,5.13E-19,-1.242937814,,,
Rims2,1.16E-14,-0.314538783,0.008,0.115,3.76E-10,-1.243614017,,,
Kcnk5,3.81E-16,-0.315964339,0.005,0.115,1.23E-11,-1.244843464,,,
Jmy,2.09E-07,-0.316918479,0.18,0.379,0.006741305,-1.245667026,,,
Slc25a30,5.58E-07,-0.318869061,0.091,0.225,0.01800632,-1.247352357,,,
Ptger3,2.18E-11,-0.318968842,0.02,0.132,7.03E-07,-1.247438631,,,
Rgs6,1.39E-08,-0.323396355,0.02,0.11,0.000448924,-1.251272798,,,
Zfp618,6.85E-07,-0.323739497,0.081,0.209,0.022094633,-1.251570446,,,
Grem2,5.04E-26,-0.324182604,0.001,0.154,1.63E-21,-1.251954911,,,
Col18a1,1.68E-09,-0.326163116,0.024,0.126,5.43E-05,-1.253674757,,,
Zbtb44,4.64E-07,-0.327295785,0.111,0.269,0.01495703,-1.254659411,,,
Mapt,2.71E-12,-0.327755534,0.08,0.269,8.76E-08,-1.255059302,,,
Ankrd29,1.21E-07,-0.328220557,0.069,0.203,0.003904115,-1.25546391,,,
Zfp697,9.12E-08,-0.328517806,0.119,0.275,0.002941878,-1.255722609,,,
Naa50,2.50E-08,-0.328530718,0.08,0.225,0.000806445,-1.255733848,,,
Slc17a1,1.01E-20,-0.329046062,0,0.115,3.27E-16,-1.256182487,,,
Ranbp3l,1.14E-13,-0.329143345,0.028,0.17,3.68E-09,-1.256267197,,,
Slc7a13,7.36E-19,-0.329587519,0,0.104,2.37E-14,-1.256654033,,,
Crebzf,9.14E-08,-0.330640693,0.119,0.286,0.002948108,-1.257571732,,,
Meis1,3.45E-07,-0.330902267,0.361,0.654,0.011117484,-1.257799761,,,
Bmpr1b,1.41E-14,-0.33126456,0.011,0.126,4.55E-10,-1.258115662,,,
Rpl13,1.22E-06,-0.331662054,0.106,0.247,0.039259581,-1.258462349,,,
