rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Defb1,7.08E-23,1.201811073,0.906,0.748,2.28E-18,2.300282535,,33,505
Grk5,6.52E-09,0.853788034,0.762,0.675,0.000210229,1.807239908,,,
Kcnq1ot1,1.12E-14,0.818301511,0.898,0.802,3.61E-10,1.763328798,,,
Arhgap18,6.57E-08,0.755135854,0.898,0.912,0.002118204,1.687790519,,,
Insrr,3.58E-09,0.749881943,0.217,0.061,0.00011554,1.681655213,,,
Gm48678,4.51E-08,0.732111723,0.546,0.374,0.001453921,1.661068677,,,
Dmrt2,4.66E-10,0.704830446,0.679,0.505,1.50E-05,1.629953091,,,
Aqp6,2.32E-07,0.701319112,0.587,0.444,0.007500586,1.62599082,,,
Xrcc6,3.97E-08,0.670327143,0.423,0.246,0.001280834,1.591433797,,,
Bmpr1b,1.40E-15,0.667442359,0.984,0.979,4.50E-11,1.588254778,,,
Usp33,1.82E-10,0.64038553,0.765,0.614,5.87E-06,1.558745645,,,
Plcd3,1.32E-10,0.627886373,0.77,0.629,4.25E-06,1.545299386,,,
Foxp1,9.66E-18,0.618903668,1,0.997,3.12E-13,1.535707724,,,
Atp6v1g3,9.20E-09,0.60983115,0.841,0.802,0.000296884,1.526080589,,,
Gm13269,2.56E-07,0.608412383,0.413,0.243,0.008268032,1.524580558,,,
Alcam,2.73E-08,0.596210927,0.969,0.964,0.000881604,1.511740934,,,
Gm10848,7.21E-08,0.563775228,0.452,0.267,0.002327253,1.47813212,,,
Ncoa7,1.16E-13,0.561908512,0.982,0.96,3.75E-09,1.476220789,,,
Btg2,6.59E-07,0.551445547,0.363,0.21,0.021262063,1.465553411,,,
Abr,2.88E-08,0.549356164,0.94,0.888,0.000929413,1.46343246,,,
5330438D12Rik,2.09E-07,0.537107474,0.739,0.596,0.006743621,1.451060301,,,
Gm20732,1.15E-06,0.528726027,0.804,0.742,0.037237099,1.442654696,,,
Car2,1.75E-07,0.513826714,0.794,0.657,0.005645893,1.427832468,,,
Rcan2,4.16E-10,0.513158261,0.969,0.964,1.34E-05,1.427171056,,,
Dmxl1,1.50E-09,0.488337631,0.992,0.991,4.85E-05,1.402827514,,,
Tfcp2l1,6.71E-13,0.472723935,0.992,0.997,2.16E-08,1.387727146,,,
Pam,3.17E-11,0.457759624,0.992,0.988,1.02E-06,1.373407383,,,
Atp6v0d2,3.38E-07,0.45775752,0.966,0.948,0.010910343,1.37340538,,,
Arl15,9.03E-11,0.452339734,0.99,0.997,2.91E-06,1.368257471,,,
Malat1,2.09E-26,0.429697196,1,1,6.76E-22,1.346950839,,,
Cacnb2,8.76E-07,0.363468622,0.982,0.967,0.02826923,1.286515307,,,
Mecom,2.70E-09,0.342850701,0.995,1,8.70E-05,1.268260145,,,
Gm26532,5.40E-07,0.334281619,0.131,0.027,0.0174093,1.26074947,,,
Mrps24,1.11E-10,-0.250135898,0.013,0.137,3.57E-06,-1.18931914,,,
Acox3,8.34E-10,-0.250137161,0.013,0.128,2.69E-05,-1.189320182,,,
Dcdc2a,7.32E-09,-0.250415982,0.016,0.125,0.000236227,-1.189550057,,,
Tob1,3.65E-08,-0.251368565,0.034,0.152,0.001176065,-1.190335752,,,
Robo2,1.19E-06,-0.252371052,0.018,0.103,0.038359395,-1.191163169,,,
Cox6b1,5.25E-10,-0.254052535,0.042,0.191,1.69E-05,-1.192552298,,,
Cox17,1.14E-07,-0.255135805,0.029,0.137,0.003692219,-1.193448081,,,
Sema4d,2.58E-07,-0.255749617,0.055,0.179,0.008323336,-1.193955955,,,
Fbxo7,2.57E-09,-0.256305217,0.044,0.185,8.30E-05,-1.194415852,,,
Zfp706,1.67E-11,-0.258916581,0,0.112,5.40E-07,-1.196579773,,,
Mfap3l,7.85E-10,-0.260532632,0.01,0.122,2.53E-05,-1.197920886,,,
Cat,5.00E-07,-0.261236674,0.149,0.307,0.016143457,-1.19850562,,,
Adh1,3.98E-10,-0.261894711,0.01,0.125,1.28E-05,-1.199052403,,,
0610005C13Rik,1.92E-09,-0.263591989,0.013,0.125,6.19E-05,-1.200463875,,,
Glb1l,1.82E-07,-0.264345056,0.034,0.143,0.005872431,-1.201090663,,,
Mfsd1,8.07E-08,-0.265720934,0.018,0.116,0.002602602,-1.202236673,,,
Sod1,9.06E-10,-0.268256148,0.01,0.122,2.92E-05,-1.204351193,,,
Prnp,2.38E-09,-0.269938912,0.01,0.116,7.68E-05,-1.205756771,,,
Col8a1,1.38E-09,-0.270036355,0.005,0.106,4.46E-05,-1.205838214,,,
