rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Pdk4,2.81E-18,1.091499805,0.358,0.112,9.08E-14,2.130954524,,59,126
Hmgcs2,2.66E-24,0.970492936,0.344,0.066,8.57E-20,1.959510001,,,
Il34,5.93E-15,0.911111393,0.893,0.793,1.91E-10,1.880493595,,,
1600010M07Rik,7.47E-16,0.795603706,0.633,0.39,2.41E-11,1.735803581,,,
Pakap.1,4.29E-09,0.767077856,0.934,0.913,0.000138345,1.701819296,,,
Slc2a2,3.80E-07,0.766261628,0.471,0.344,0.012260514,1.700856737,,,
Tmcc3,6.17E-09,0.764938371,0.721,0.615,0.000198951,1.699297406,,,
Vcl,5.05E-10,0.754540318,0.682,0.548,1.63E-05,1.687093953,,,
Icam1,5.83E-10,0.752696485,0.457,0.309,1.88E-05,1.684939144,,,
Itgav,8.72E-10,0.727535828,0.888,0.821,2.81E-05,1.655808497,,,
Bcl2l1,5.21E-15,0.713823622,0.851,0.727,1.68E-10,1.640145293,,,
Chka,2.63E-08,0.700456372,0.839,0.75,0.000847587,1.625018759,,,
Ppara,9.88E-07,0.696487018,0.751,0.758,0.031890304,1.620553914,,,
Sqstm1,6.74E-13,0.687098524,0.644,0.426,2.18E-08,1.610042224,,,
Plin2,2.83E-07,0.684444647,0.31,0.181,0.009138673,1.607083229,,,
Wee1,1.13E-15,0.675140427,0.417,0.173,3.63E-11,1.596752188,,,
Mctp1,1.32E-13,0.648527804,0.201,0.036,4.25E-09,1.567567757,,,
Ifrd1,2.32E-08,0.61952288,0.676,0.538,0.000747542,1.536366999,,,
Polr3e,1.10E-10,0.605015066,0.336,0.148,3.55E-06,1.520994637,,,
Gldc,1.29E-07,0.596567269,0.524,0.367,0.004162755,1.512114376,,,
Gm43305,1.54E-13,0.589619132,0.535,0.301,4.98E-09,1.504849418,,,
Sh3rf1,9.50E-11,0.584156341,0.948,0.952,3.07E-06,1.499162053,,,
Gm13684,9.10E-08,0.584036859,0.654,0.487,0.002934547,1.4990379,,,
