rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Gm20528,8.60E-13,2.451900239,0.492,0.056,2.77E-08,5.471362864,,28,76
Cntnap2,6.49E-11,2.407312258,0.492,0.112,2.09E-06,5.304851102,,,
Rplp1,3.42E-11,2.005793494,0.378,0,1.10E-06,4.016095272,,,
Sptssb,7.36E-08,1.725900471,0.503,0.191,0.002373438,3.307865261,,,
Gpc6,1.23E-08,1.719671123,0.389,0.067,0.000397916,3.293613171,,,
Pdzd2,3.00E-11,1.613145466,0.492,0.079,9.67E-07,3.059180996,,,
Foxq1,9.13E-11,1.455665767,0.523,0.124,2.95E-06,2.742831064,,,
Pparg,6.59E-07,1.401062251,0.689,0.483,0.021263474,2.640959634,,,
Trp63,6.37E-09,1.335795582,0.731,0.416,0.00020538,2.524146387,,,
Gsta4,2.11E-09,1.318947564,0.674,0.303,6.81E-05,2.494840464,,,
Mctp2,5.38E-07,1.161514618,0.668,0.393,0.017365346,2.236921484,,,
Gstm1,9.92E-07,1.120633009,0.269,0.022,0.032000857,2.174423585,,,
Ankfn1,1.41E-06,1.11780191,0.606,0.315,0.045377709,2.170160748,,,
Ly6d,3.50E-09,1.034221265,0.399,0.056,0.0001129,2.048007878,,,
Tmprss2,4.50E-08,1.016333917,0.865,0.697,0.001450781,2.022772286,,,
Ano1,4.40E-10,1.00856266,0.751,0.393,1.42E-05,2.011905664,,,
Atrn,6.22E-08,0.992888239,0.845,0.674,0.002006547,1.990165266,,,
Hmgcs1,3.19E-07,0.970445281,0.389,0.101,0.010278931,1.959445275,,,
Stox2,4.91E-08,0.963009839,0.886,0.685,0.001583488,1.949372556,,,
Id1,2.05E-08,0.916307201,0.337,0.034,0.000661584,1.887278327,,,
Eps8,1.16E-06,0.898169371,0.694,0.393,0.037586575,1.863699642,,,
Rplp0,4.16E-07,0.883551106,0.244,0,0.013418363,1.844910853,,,
Arhgap26,5.34E-07,0.870082322,0.793,0.573,0.017243708,1.827767192,,,
Vmp1,1.05E-09,0.856001167,0.44,0.056,3.38E-05,1.81001439,,,
Dhrs3,1.81E-07,0.823817114,0.689,0.36,0.005851127,1.770083126,,,
Gpr39,1.90E-07,0.7429752,0.912,0.764,0.006115487,1.673623715,,,
Cyp4f15,3.98E-07,0.707317244,0.316,0.034,0.012825037,1.632765092,,,
Tsku,1.28E-06,0.61082817,0.244,0.011,0.041318994,1.5271356,,,
Rps13,5.88E-08,-0.252681631,0,0.146,0.001896272,-1.191419627,,,
Naca,1.16E-09,-0.299771743,0.005,0.202,3.75E-05,-1.230949642,,,
Calb1,5.88E-08,-0.361218457,0,0.146,0.001896272,-1.284510298,,,
Stard10,5.03E-09,-0.366321338,0,0.169,0.000162424,-1.289061717,,,
Rpl17,1.65E-12,-0.386358567,0.005,0.258,5.32E-08,-1.307090077,,,
Atp5b,1.20E-10,-0.388019014,0,0.202,3.87E-06,-1.308595318,,,
Bag1,2.27E-08,-0.388022185,0.01,0.191,0.000732539,-1.308598194,,,
Ldhd,5.88E-08,-0.40755202,0,0.146,0.001896272,-1.326433198,,,
Rps8,6.71E-07,-0.412463692,0,0.124,0.021635013,-1.330956751,,,
Slc25a3,3.04E-08,-0.438534053,0.031,0.247,0.000979707,-1.355226558,,,
Lamp1,7.14E-08,-0.451831605,0.041,0.258,0.002304339,-1.367775645,,,
Gm2682,1.26E-06,-0.45661672,0.021,0.18,0.040685294,-1.372319799,,,
