rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Timp3,2.08E-41,1.425330857,0.924,0.916,6.71E-37,2.685760867,,105,423
Egr1,2.20E-42,1.386525355,0.577,0.257,7.08E-38,2.614482394,,,
Csrp1,4.42E-31,1.360244319,0.617,0.405,1.43E-26,2.567286525,,,
Serpine1,7.68E-26,1.289826044,0.303,0.092,2.48E-21,2.444985728,,,
Gem,9.30E-16,1.148412075,0.424,0.261,3.00E-11,2.216697758,,,
Pdlim5,1.46E-32,1.097410605,0.827,0.731,4.70E-28,2.139703069,,,
Thbs1,2.87E-21,1.091880014,0.322,0.134,9.26E-17,2.131516191,,,
Actb,1.23E-33,1.062597788,0.591,0.296,3.98E-29,2.088689134,,,
Acta2,1.93E-15,0.998486507,0.224,0.081,6.23E-11,1.997902954,,,
Myo1e,1.52E-15,0.97050486,0.628,0.498,4.89E-11,1.959526197,,,
Msrb3,2.39E-28,0.945489608,0.75,0.605,7.72E-24,1.92584235,,,
Tagln,9.15E-18,0.921488872,0.439,0.261,2.95E-13,1.894068978,,,
Clic4,1.16E-15,0.919601789,0.634,0.536,3.73E-11,1.891593106,,,
Tpm1,1.98E-20,0.900430526,0.766,0.646,6.37E-16,1.866622934,,,
Slit3,9.12E-08,0.889426044,0.375,0.273,0.002942619,1.852439011,,,
Fam129b,2.41E-17,0.87250202,0.449,0.263,7.76E-13,1.830835308,,,
Alpk1,1.20E-17,0.872328647,0.59,0.432,3.87E-13,1.830615304,,,
Nr4a3,2.14E-16,0.870042288,0.209,0.065,6.92E-12,1.827716474,,,
Lims1,4.53E-19,0.83086193,0.777,0.704,1.46E-14,1.778747748,,,
Samd4,9.79E-20,0.801479961,0.759,0.614,3.16E-15,1.742888119,,,
Nr4a1,4.05E-22,0.788937069,0.391,0.177,1.31E-17,1.727801005,,,
Myh9,1.09E-29,0.749824998,0.893,0.854,3.53E-25,1.681588838,,,
Rhoj,4.97E-08,0.746145791,0.759,0.697,0.001604455,1.67730586,,,
Rgs7,2.12E-12,0.737764504,0.172,0.057,6.83E-08,1.667589859,,,
Mt1,1.25E-09,0.73402551,0.317,0.2,4.02E-05,1.663273606,,,
Fmnl2,5.77E-12,0.731532796,0.882,0.874,1.86E-07,1.660402255,,,
Rasgef1b,3.41E-07,0.714106688,0.593,0.521,0.01101151,1.640467132,,,
Gm17501,3.49E-11,0.70825985,0.497,0.366,1.12E-06,1.633832232,,,
Rab31,4.06E-11,0.700860887,0.623,0.518,1.31E-06,1.625474459,,,
Pde4a,1.14E-11,0.696032489,0.436,0.296,3.69E-07,1.62004343,,,
Tbc1d1,8.10E-13,0.691176721,0.755,0.707,2.61E-08,1.614599915,,,
Olfr1033,4.89E-08,0.667963816,0.759,0.692,0.001578941,1.58882895,,,
Lima1,9.41E-18,0.664537188,0.809,0.731,3.03E-13,1.585059709,,,
Lmod1,9.00E-08,0.661957614,0.341,0.227,0.002904125,1.582228116,,,
Mamld1,3.32E-08,0.645379247,0.54,0.456,0.001069848,1.564150406,,,
Zbtb38,1.01E-15,0.641343032,0.765,0.689,3.26E-11,1.559780513,,,
Zbtb16,6.11E-37,0.639948009,0.979,0.974,1.97E-32,1.558273002,,,
Atp8b1,4.54E-10,0.63839874,0.462,0.326,1.46E-05,1.556600516,,,
Sh3bgrl,1.13E-06,0.637842641,0.609,0.571,0.036428326,1.556000626,,,
Pakap,5.70E-07,0.637391819,0.423,0.332,0.018380191,1.555514474,,,
Itgb1,8.58E-13,0.635382447,0.774,0.736,2.77E-08,1.553349476,,,
Rock2,2.24E-16,0.619239746,0.919,0.919,7.24E-12,1.536065511,,,
4930523C07Rik,6.73E-09,0.617845895,0.458,0.335,0.000217054,1.534582167,,,
9530026P05Rik,9.58E-15,0.617003993,0.875,0.854,3.09E-10,1.533686904,,,
Ppard,2.41E-10,0.614458888,0.454,0.318,7.77E-06,1.530983663,,,
Rapgef5,8.39E-08,0.611610444,0.71,0.652,0.002705949,1.527963885,,,
Fermt2,6.18E-14,0.610864357,0.84,0.818,1.99E-09,1.527173906,,,
Rbpms,6.78E-19,0.608021237,0.953,0.971,2.19E-14,1.524167267,,,
Tspan5,7.68E-07,0.603264336,0.585,0.511,0.024788307,1.519150009,,,
Btg2,5.64E-11,0.601327452,0.36,0.219,1.82E-06,1.517111849,,,
Bcl2l1,6.48E-10,0.599058763,0.668,0.58,2.09E-05,1.514728011,,,
Lrrc8a,2.93E-13,0.589120367,0.447,0.285,9.44E-09,1.504329256,,,
Coq10b,1.04E-10,0.587533987,0.409,0.276,3.37E-06,1.502676011,,,
Ano1,6.47E-07,0.581984036,0.153,0.074,0.020888602,1.496906423,,,
Errfi1,8.88E-12,0.581818948,0.833,0.856,2.86E-07,1.496735141,,,
Pde7b,9.50E-08,0.579466575,0.796,0.767,0.003065134,1.494296643,,,
Pakap.1,1.21E-12,0.56816298,0.854,0.842,3.92E-08,1.482634492,,,
Man2a1,6.29E-10,0.567908579,0.88,0.899,2.03E-05,1.482373072,,,
