rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold
Hmgcs2,0,1.64078140168305,0.573,0.102,0,3.11834684021716
Cyp4a14,0,1.32093028088407,0.467,0.201,0,2.49827151789788
Mctp1,0,1.14708224361078,0.18,0.019,0,2.21465541606953
Pdk4,0,1.07307448123373,0.268,0.061,0,2.10391217313571
Il34,1.16606672452098e-178,1.03113873148358,0.415,0.272,3.7621976799945e-174,2.04363667481453
Gm16311,0,0.989108546249965,0.821,0.759,0,1.98495808907654
Gm43305,0,0.839315272544925,0.548,0.247,0,1.78920075538047
Gm15441,0,0.82523867568178,0.22,0.02,0,1.77182814055712
Acox1,0,0.801816815087309,0.975,0.952,0,1.74329511168259
Slc13a1,5.85421622901444e-217,0.799536957533338,0.896,0.905,1.88880432412922e-212,1.74054239839734
Aldh1a1,2.53256126608079e-257,0.780034704566453,0.323,0.149,8.17105566888307e-253,1.71717217959492
Slc25a20,0,0.723200981477044,0.554,0.262,0,1.65084077921355
Txnip,0,0.713543690558012,0.272,0.093,0,1.63982708010494
Slc16a14,2.3650539823638e-71,0.700832382355094,0.649,0.616,7.63061016869857e-67,1.6254423430953
Noct,0,0.699077063304029,0.69,0.496,0,1.62346587903591
Ehhadh,8.7524409060998e-237,0.694117466749075,0.565,0.378,2.82388753394404e-232,1.61789442314937
Il7,7.84776322243625e-238,0.681889292747891,0.594,0.414,2.53200232608683e-233,1.60423922440722
Tob2,0,0.663324004032256,0.685,0.436,0,1.58372736922859
Resf1,7.5547023431227e-121,0.660698964257202,0.702,0.615,2.43744916398511e-116,1.58084833569439
Dgkh,3.43403044028853e-301,0.639219362826745,0.874,0.766,1.10795558125469e-296,1.55748618102296
Glud1,0,0.633000257906365,0.908,0.837,0,1.55078668992358
Thsd4,3.77278583647026e-197,0.62781785406008,0.169,0.056,1.21725162227876e-192,1.54522599610249
Slc25a30,1.4395939584544e-268,0.612645817113332,0.633,0.434,4.64470594755728e-264,1.52906084603332
Rora,0,0.607501444187934,0.926,0.896,0,1.52361821871232
Agmo,2.09216901619726e-98,0.599769112139941,0.359,0.258,6.75017411385885e-94,1.5154740117484
Acaa1b,1.7458271583211e-09,0.580855284305181,0.422,0.452,5.6327367436072e-05,1.49573571467073
Rab30,0,0.568913631773215,0.296,0.101,0,1.48340612575063
Glul,4.3058114779107e-142,0.562473476147953,0.607,0.474,1.38922701523311e-137,1.47679899483895
Mapk4,2.66411645947249e-254,0.557896347565338,0.839,0.709,8.59550534484204e-250,1.47212109177834
Tacc2,1.26287334473263e-190,0.556855059989768,0.914,0.887,4.07453455944537e-186,1.47105894884824
Gm35188,6.62671034223247e-174,0.550858543283948,0.705,0.585,2.13804182481788e-169,1.46495722803844
Gm22146,1.01110979087358e-295,0.548607803282393,0.497,0.275,3.26224462927453e-291,1.46267353877861
Acsl1,3.23539539452166e-239,0.540144525750335,0.6,0.408,1.04386797008847e-234,1.45411818011731
Pakap.1,4.73744539413213e-25,0.535223209024477,0.592,0.566,1.52848938196279e-20,1.44916634745495
Gldc,3.48541669176348e-278,0.527189943442708,0.824,0.737,1.12453484143057e-273,1.44111947235357
Fgfr2,5.77698927572618e-219,0.526021685845902,0.898,0.862,1.8638878199203e-214,1.43995296298042
Cep85,9.57324384788179e-199,0.521285154082066,0.851,0.769,3.08871139508058e-194,1.43523318579186
Herpud1,2.82610295091157e-53,0.517316211368653,0.514,0.484,9.1181385608211e-49,1.43129019728902
Sqstm1,8.12255386830503e-248,0.517032152769764,0.674,0.486,2.62066078006993e-243,1.43100841198205
Gstt2,5.68373832222449e-243,0.516961855261416,0.809,0.652,1.83380133228251e-238,1.43093868562123
Tfcp2l1,1.85303413270621e-89,0.515529527769065,0.747,0.697,5.97862932576333e-85,1.42951873499009
Trpm3,3.89641198271189e-242,0.510273734613455,0.365,0.182,1.25713836210217e-237,1.42432041820286
Nat8f3,1.61260451845675e-115,0.508424224511167,0.429,0.297,5.20290721834886e-111,1.42249563397004
Cyp4a12b,0,0.506170190138102,0.213,0.032,0,1.42027489396621
Gm15962,8.45626169423885e-105,0.504413045843984,0.521,0.396,2.72832827302922e-100,1.4185461095141
Fgf1,6.37402498037833e-66,0.501001899817327,0.513,0.405,2.05651541966927e-61,1.41519602393059
Cyp4a31,2.93129997907776e-135,0.495246964859005,0.51,0.371,9.45754625249648e-131,1.40956202754109
Large1,1.63300321559446e-230,0.491755361652662,0.797,0.66,5.26872157479396e-226,1.40615473750143
Plk3,8.41864333141542e-180,0.491183532877888,0.452,0.291,2.71619108444787e-175,1.4055975023368
Ppara,4.56676337742997e-232,0.487813291293619,0.938,0.935,1.47342053609401e-227,1.40231775568355
Pxmp4,5.72061446941537e-277,0.484947259790473,0.72,0.51,1.84569905241218e-272,1.39953470225123
Nr1h4,3.42905769578316e-269,0.484092430148789,0.941,0.94,1.10635117496748e-264,1.3987056917204
