rownames.markers.,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,fold,,up,down
Cmss1,1.07E-08,-1.617668813,0.737,0.974,0.000345621,-3.068787636,,0,2
Gm42418,2.25E-11,-2.319612025,0.947,1,7.25E-07,-4.991979554,,,
Opcml,0.000632857,2.324837211,0.526,0.154,1,5.010092399,,,
Lingo2,0.089234742,2.129477777,0.211,0.077,1,4.375590653,,,
Agrp,5.93E-06,1.524779958,0.895,0.692,0.191397916,2.877428256,,,
Pde10a,0.00183505,1.439385795,0.816,0.692,1,2.712053795,,,
Vtcn1,0.003225558,1.412520867,0.474,0.205,1,2.662018997,,,
Colec12,0.001431878,1.397090236,0.684,0.385,1,2.633698569,,,
Foxd1,0.000105735,1.270313019,0.5,0.103,1,2.412138956,,,
Gm13561,0.001424747,1.267300868,0.605,0.282,1,2.407107991,,,
Alcam,3.30E-06,1.25201548,1,0.923,0.106438715,2.381739254,,,
Lpin2,0.000357658,1.234298315,0.921,0.744,1,2.352668927,,,
Sgip1,0.000396884,1.205831922,0.868,0.821,1,2.306702458,,,
Ntng2,0.004473967,1.186899277,0.816,0.744,1,2.276629108,,,
Cadm2,0.475458369,1.171270024,0.316,0.308,1,2.25209865,,,
Pde4b,0.002291563,1.15775346,0.737,0.59,1,2.231097343,,,
C1qtnf7,0.005940758,1.155507154,0.947,0.744,1,2.227626181,,,
Rassf8,6.29E-05,1.120817178,0.868,0.538,1,2.17470118,,,
Dtna,0.11262088,1.118846518,0.289,0.179,1,2.17173266,,,
Ctnnal1,0.019041808,1.113880455,0.658,0.538,1,2.164269945,,,
Pard3bos1,0.001284601,1.101973601,0.789,0.436,1,2.146481295,,,
Mgat5,4.43E-06,1.08214686,1,1,0.142999265,2.117184298,,,
Dync1i1,0.063531167,1.076450614,0.526,0.359,1,2.108841423,,,
Klhl32,0.054135455,1.075971072,0.553,0.359,1,2.108140576,,,
Stat1,0.035361581,1.057034503,0.447,0.256,1,2.080650292,,,
Gm4924,0.000678784,1.04874358,0.368,0.051,1,2.068727441,,,
Man1a2,0.000429119,1.021863007,0.974,0.846,1,2.03053938,,,
Prkd1,0.014089146,0.985436239,0.816,0.641,1,1.979911903,,,
Nebl,6.49E-05,0.971814803,0.974,0.923,1,1.961306221,,,
Clip1,0.015303149,0.969204135,0.842,0.692,1,1.957760295,,,
Anxa2,0.001697438,0.967705588,0.684,0.436,1,1.955727799,,,
Atg10,0.007661783,0.959561429,0.632,0.385,1,1.944718622,,,
Rhpn1,0.037136653,0.952175662,0.579,0.359,1,1.934788225,,,
Stk4,0.114096413,0.931350136,0.447,0.308,1,1.907059869,,,
Grk4,0.013826643,0.912448161,0.289,0.077,1,1.882236825,,,
Mia3,0.03335314,0.909202461,0.368,0.205,1,1.878007027,,,
Fam222a,0.003263037,0.908802798,0.421,0.128,1,1.877486843,,,
Usp53,0.036595772,0.902916494,0.711,0.513,1,1.869842162,,,
St3gal3,0.00422257,0.893689858,0.895,0.846,1,1.857921901,,,
St3gal1,0.030982753,0.892818695,0.711,0.462,1,1.856800344,,,
Samhd1,0.015094944,0.886773748,0.474,0.256,1,1.849036557,,,
Sema5a,0.004618844,0.88549238,0.974,0.974,1,1.847395015,,,
Maco1,0.062535444,0.880474589,0.447,0.282,1,1.84098081,,,
Cblb,0.004594696,0.874919295,0.921,0.744,1,1.833905494,,,
Micu1,0.003526692,0.866486638,0.816,0.564,1,1.82321745,,,
Mgat4a,0.052057335,0.863739653,0.605,0.487,1,1.819749229,,,
Parp4,0.00061137,0.862852748,0.895,0.769,1,1.818630872,,,
Iqgap2,0.006517056,0.861512415,0.921,0.974,1,1.816942061,,,
Plce1,0.000368851,0.857836795,0.974,0.897,1,1.812318846,,,
Stim1,0.129447912,0.846244306,0.5,0.462,1,1.79781467,,,
Disp1,0.003151066,0.843993458,0.342,0.077,1,1.795011961,,,
Dach1,0.002694702,0.840456058,1,1,1,1.790616093,,,
Flrt2,0.159478728,0.839718335,0.632,0.564,1,1.789700695,,,
Gm11659,0.070245755,0.838874582,0.263,0.103,1,1.788654303,,,
Col1a2,0.077679181,0.829400631,0.237,0.103,1,1.776946975,,,
Frmd5,0.105952412,0.815217308,0.395,0.256,1,1.759563168,,,
Arhgef18,0.002880439,0.814465132,1,0.949,1,1.758646027,,,
Cdc123,0.027701752,0.813003888,0.368,0.179,1,1.756865671,,,
P2ry14,0.042538047,0.811011282,0.316,0.128,1,1.754440817,,,
Nphs2,0.003774966,0.810663147,0.921,0.667,1,1.754017506,,,
Acpp,0.109834892,0.810301952,0.263,0.128,1,1.753578424,,,
Astn2,0.000383432,0.802613979,1,0.872,1,1.744258639,,,
Ankrd6,0.107635714,0.802580127,0.316,0.179,1,1.744217711,,,
Rbfox1,0.072249631,0.797930553,0.763,0.564,1,1.738605427,,,
